season,constructor,era,races,total_points,avg_grid_position,avg_finish_position,dnf_rate,wins,podiums,top10_finishes,podium_rate,top10_rate,final_rank,prev_final_rank,prev_total_points,prev_avg_grid_position,prev_avg_finish_position,prev_dnf_rate,prev_wins,prev_podiums,prev_top10_finishes,prev_podium_rate,prev_top10_rate,prev_driver_strength_mean,prev_driver_strength_max
2011,Alpine,2010-2013_post_points_change,19,73.0,11.552631578947368,12.657894736842104,0.6578947368421053,0,2,15,0.05263157894736842,0.39473684210526316,5,5.0,163.0,10.552631578947368,10.973684210526315,0.4473684210526316,0.0,3.0,20.0,0.07894736842105263,0.5263157894736842,0.013333333333333334,0.03272727272727273
2012,Alpine,2010-2013_post_points_change,20,303.0,7.775,9.15,0.25,1,10,29,0.25,0.725,4,5.0,73.0,11.552631578947368,12.657894736842104,0.6578947368421053,0.0,2.0,15.0,0.05263157894736842,0.39473684210526316,0.0,0.0
2013,Alpine,2010-2013_post_points_change,19,315.0,8.289473684210526,8.526315789473685,0.2631578947368421,1,14,27,0.3684210526315789,0.7105263157894737,4,4.0,303.0,7.775,9.15,0.25,1.0,10.0,29.0,0.25,0.725,0.1466666666666667,0.3054545454545455
2014,Alpine,2014-2016_early_hybrid,19,10.0,16.31578947368421,15.157894736842104,0.8421052631578947,0,0,3,0.0,0.07894736842105263,8,4.0,315.0,8.289473684210526,8.526315789473685,0.2631578947368421,1.0,14.0,27.0,0.3684210526315789,0.7105263157894737,0.09878787878787879,0.19636363636363635
2015,Alpine,2014-2016_early_hybrid,19,78.0,11.052631578947368,12.526315789473685,0.6052631578947368,0,1,16,0.02631578947368421,0.42105263157894735,6,8.0,10.0,16.31578947368421,15.157894736842104,0.8421052631578947,0.0,0.0,3.0,0.0,0.07894736842105263,0.006060606060606061,0.009696969696969697
2016,Alpine,2014-2016_early_hybrid,21,8.0,17.19047619047619,15.523809523809524,0.8571428571428571,0,0,3,0.0,0.07142857142857142,9,6.0,78.0,11.052631578947368,12.526315789473685,0.6052631578947368,0.0,1.0,16.0,0.02631578947368421,0.42105263157894735,0.0,0.0
2017,Alpine,2017-2021_wide_car,20,57.0,11.75,13.25,0.75,0,0,10,0.0,0.25,6,9.0,8.0,17.19047619047619,15.523809523809524,0.8571428571428571,0.0,0.0,3.0,0.0,0.07142857142857142,0.048080808080808085,0.08727272727272728
2018,Alpine,2017-2021_wide_car,21,122.0,10.642857142857142,11.071428571428571,0.5952380952380952,0,0,24,0.0,0.5714285714285714,4,6.0,57.0,11.75,13.25,0.75,0.0,0.0,10.0,0.0,0.25,0.05878787878787879,0.06545454545454546
2019,Alpine,2017-2021_wide_car,21,91.0,10.523809523809524,11.976190476190476,0.6428571428571429,0,0,18,0.0,0.42857142857142855,5,4.0,122.0,10.642857142857142,11.071428571428571,0.5952380952380952,0.0,0.0,24.0,0.0,0.5714285714285714,0.16303030303030303,0.24242424242424243
2020,Alpine,2017-2021_wide_car,17,181.0,8.823529411764707,8.941176470588236,0.38235294117647056,0,3,24,0.08823529411764706,0.7058823529411765,5,5.0,91.0,10.523809523809524,11.976190476190476,0.6428571428571429,0.0,0.0,18.0,0.0,0.42857142857142855,0.062424242424242424,0.06545454545454546
